Nom de l'entreprise,Activite,Adresse,Ville,Coordonnees geographiques,RC,Tribunal,ICE,Forme Juridique,URL,Capital
ASMENT DE TEMARA," production, fabrication et commercialisation du ciment", Ain Attig Route De Casablanca,Ain Attig,33.892094 : -6.962044,24741,Tribunal de Rabat,1526475000087.0,,societe-asment-de-temara-18643, 495 000 000 
INTERNATIONAL MARITIME TRANSPORT CORPORATION (IMTC ), transport maritime international, 50 Avenue Pasteur Prolongement De L'avenue De L'armee Royale,Casablanca,33.59737 : -7.59445,54189,Tribunal de Casablanca,,,societe-international-maritime-transport-corporation-49941, 180 000 000 
SAISS CEREALES, importation et negoce de cereales et aliments pour le betail - vente de legumineuses et derives, Lot 61 Quartier Bensouda,Fes-Medina (AR),34.0333333 : -5,16591,Tribunal de Fes,1535225000032.0,,societe-saiss-cereales-25594, 739 100 
SANOFI-AVENTIS MAROC," fabrication, importation et distribution de produits pharmaceutiques"," Route De Rabat, Ain Sebaa 20250 Bp 2611",Ain-Sebaa (AR),33.609434 : -7.519515,22497,Tribunal de Casablanca,1524476000031.0,,societe-sanofi-aventis-maroc-65467, 444 512 250 
STOKVIS NORD AFRIQUE," importation de materiel agricole, industriel et de travaux publics. thermique, groupes electrogenes, manutention, rayonnages, nettoyage, lubrifiants. certification iso 9001/2008",,,33.414212 : -7.662719,21729,Tribunal de Casablanca,1524618000077.0,,societe-stokvis-nord-afrique-66076, 91 951 500 
JORF FERTILIZERS COMPANY V," production et vente d'acide phosphorique, d'engrais phosphates et azotes et autres produits derives"," 2-4, Rue Al Abtal, Hay Erraha, Hay Hassani Ain Chock",Ain-Chock (AR),33.552207 : -7.646883,180903,Tribunal de Casablanca,1590979000017.0,,societe-jorf-fertilizers-company-v-215937, 1 302 043 000 
MAPHAR, fabrication de produits pharmaceutiques - vente de produits et specialites pharmaceutiques biologiques," Boulevard Alkimia Ndeg6 Quartier Industriel Sidi Bernoussi (ex Km 10, Route Cotiere, 111, Quartier Industriel Zenata, Ain Sebaa)",Ain-Sebaa (AR),33.61824 : -7.54537,16985,Tribunal de Casablanca,1524489000068.0,,societe-maphar-81954, 75 242 800 
AUTO NEJMA MAROC, agence de vente de vehicules et accessoires automobiles," Km 10, Route D'el Jadida Lissasfa",Casablanca,33.532301 : -7.6734,28743,Tribunal de Casablanca,1524856000053.0,,societe-auto-nejma-maroc-62079, 102 326 400 
LABORATOIRES DE PRODUITS PHARMACEUTIQUE D'AFRIQUE DU NORD (LAPROPHAN )," etude recherche fabrication conditionnement commerce import-export de tous produits chimiques parchimiques, l'importation, la fabrication, la distribution et l'export de tous reactifs, des reactifs a usage de diagnostic in-vitro, des produits cosmetiques et d'hygiene corporelle, des biocides et des dispositifs medicaux. l''importation, la fabrication, la distribution et l'export des biocides et des et des medicaments issus de la biotechnologie et bio (similaires)"," 18, Boulevard Emile Zola",Casablanca,33.59079 : -7.60262,16499,Tribunal de Casablanca,1538148000069.0,,societe-laboratoires-de-produits-pharmaceutique-d-afrique-du-nord-3148, 95 056 500 
SOCIETE MAGHREBIENNE DE GENIE CIVIL (SOMAGEC), travaux de construction et de batiments et maritimes - genie civile - travaux hydrauliques et environnement, Angle Rue Corbi Et Rue Mohamed El Mesfioui Oukacha,Casablanca,33.609172 : -7.5605,29807,Tribunal de Casablanca,1513352000067.0,,societe-societe-maghrebienne-de-genie-civil-59514, 560 000 000 
SOCIETE MAROCAINE METALLURGIQUE SOCODAM DAVUM (SMM SOCODAM DAVUM), commerce acier et produit metallurgiques, Boulevard Ahl Loghlam -sidi Moumen,Sidi Moumen (AR),33.599474 : -7.469188,7,Tribunal de Casablanca,1524602000024.0,,societe-societe-marocaine-metallurgique-socodam-davum-883, 203 876 600 
SICOTEL DISTRIBUTION," - la prestation de service dans les domaines des telecommunications de l'internet et des services a la clientele aussi bien a l'export que sur le marche marocain; -l'achat, la vente, l'importation, la confection, la mise en place, la gestion, l'exploitation, l'archivage, la distribution, la location de toutes prestations, de tous logiciels ou toutes autres formes de donnees numerisees et multimedia sur tout support informatique ou electronique; - l'installation de reseaux informatiques ou de telecommunications, de banque de donnees, de services dans le domaine des telecoms, internet et des services a valeur ajoutee; - l'achat, la vente, l'importation, l'exportation, la representation, le negoce et d'une maniere generale le commerce sous toutes ses formes, de tout materiel informatique, electronique et de telecommunications; - les prestations de services, de maintenance et de service apres vente, pour le materiel de telecommunications, informatiques et electroniques; - l'acquisition, la concession, l'exploitation de l'apport de toutes licences pour le compte exclusif de la societe. - et plus generalement, toutes operations commerciales, industrielles, mobilieres, ou immobilieres, et financiere se rattachant directement ou indirectement aux objets precites ou susceptible de favoriser la realisation et le developpement des buts similaires ou connexes.", Roches Noires Bd Amr Bnou Al Ass Ndeg95,Casablanca,33.59836 : -7.58199,166481,Tribunal de Casablanca,28515000081.0,,societe-sicotel-distribution-191417, 30 000 000 
PRIMARIOS (PRIMARIOS), fabrication et vente de meubles - decoration, Ain Sebaa Chemin Tertiaire 1015,Ain-Sebaa (AR),33.601564 : -7.545368,3267,Tribunal de Casablanca,1529775000033.0,,societe-primarios-6015, 50 000 000 
SOCIETE GENERALE DES TRAVAUX DU MAROC (SGTM), entreprise de batiment - travaux publics - genie civil, 2 Bd Zerktouni Bp 20000,Casablanca,33.58285 : -7.61705,31287,Tribunal de Casablanca,1525807000081.0,,societe-societe-generale-des-travaux-du-maroc-59645, 300 000 000 
STE DE PROMOTION INDUSTRIELLE ET AUTOMOBILE AU MAROC (SOPRIAM), reparation de vehicules automobiles," 125, Boulevard Moulay Slimane, Ain Sebaa",Ain-Sebaa (AR),33.58694440000001 : -7.6111111000000164,36449,Tribunal de Casablanca,1604692000015.0,,societe-ste-de-promotion-industrielle-et-automobile-au-maroc-63062, 38 440 000 
SALAM GAZ," exploitation de centres emplisseurs gaz butane et propane, livraison gpl vrac. logistique dans le domaine des gaz gpl.", Rue Douar Ain Rouz Chez La Ste Chirifienne Des Petroles,Skhirate- Temara,33.848625 : -7.031892,40403,Tribunal de Rabat,1526647000002.0,,societe-salam-gaz-13770, 150 000 000 
HOLCIM MAROC," fabrication et vente de ciments, beton et granulats",,,34.058062 : -4.976502,329591,Tribunal de Casablanca,1625594000007.0,,societe-holcim-maroc-16089, 494 626 000 
ATLAS BLUE, exploitant d'avions pour le transport de voyageurs ou de marchandises (exploitation de charters)," 47, Centre Allal Ben Abdellah, Angle Rues Allal Ben Abdellah Et Fakir Mohammed, 6eme Etage Ndeg 41, 42 & 43",Casablanca,33.58694440000001 : -7.6111111000000164,265751,Tribunal de Casablanca,1457421000011.0,,societe-atlas-blue-146113, 600 000 000 
AUTO HALL, industrie et commerce de toutes les marques automobiles," 64, Avenue Lalla Yacout",Casablanca,33.591 : -7.61333,137,Tribunal de Casablanca,1529460000002.0,,societe-auto-hall-4139, 502 945 280 
PETROMIN OILS DU MAROC," fabrication de lubrifiants - commerce de carburants (super-gasoil 50 ppm-fuel ndeg 2-fuel ndeg 7) ,bitume routier 40/50 et paraffines ......etc"," 18, Rue Jilali Ghafiri Ain Sebaa",Ain-Sebaa (AR),33.60091 : -7.54631,66305,Tribunal de Casablanca,1524001000052.0,,societe-petromin-oils-du-maroc-43887, 600 000 000 
AMENDIS, distribution d'eau et d'electricite.," 20, Avenu Imam Alghazali",Tanger-Medina (AR),35.776344 : -5.805419,18665,Tribunal de Tanger,1525935000020.0,,societe-amendis-123194, 800 000 000 
SOCIETE CENTRALE DES BOISSONS GAZEUSES (S.C.B.G. ), fabrication et distribution de boissons gazeuses,,,33.58694440000001 : -7.6111111000000164,103195,Tribunal de Casablanca,1530596000079.0,,societe-societe-centrale-des-boissons-gazeuses-106478, 521 889 000 
ACIMA (ACIMA), promoteur a la construction d'immeubles gestion d'exploitation commercial," Lots Mederssa, Lot Ndeg 1, Sidi Maarouf",Casablanca,33.52482 : -7.65048,69599,Tribunal de Casablanca,1531179000052.0,,societe-acima-552, 658 534 100 
HOLDING AL OMRANE (HAO ), promotion immobiliere,,,33.955141 : -6.869739,26807,Tribunal de Rabat,1551648000095.0,,societe-holding-al-omrane-85373, 2 104 047 700 
LABEL'VIE (HYPER), supermarches," Km 3,500 Angle Rue Rif Et Route Des Zaers, Souissi",Souissi (AR),33.975544 : -6.825397,27433,Tribunal de Rabat,78523000008.0,,societe-label-vie-14282, 289 395 700 
CENTRALE AUTOMOBILE CHERIFIENNE (C.A.C), commerce des vehicules et accessoires - toutes operations de reparation mecanique et carrosserie - importation des vehicules,,,33.6181 : -7.54599,1103,Tribunal de Casablanca,1536206000026.0,,societe-centrale-automobile-cherifienne-4459, 240 000 000 
STE INDO MAROC PHOSPHORE (IMACID ), fabrication et commercialisation d'acide phosphorique," 2 Rue Al Abtal, Hay Erraha",Casablanca,33.552207 : -7.646883,90425,Tribunal de Casablanca,13858000060.0,,societe-ste-indo-maroc-phosphore-91059, 619 998 000 
ALF SAHEL, fabrication d'aliments composees pour animaux - autres activites de travail des grains, Km 28 Route El Jadida,Soualem,33.431989 : -7.783044,1619,Tribunal de Berrechid,1527270000059.0,,societe-alf-sahel-101734, 100 000 000 
APTIV SERVICES MAROC, fabrication et assemblage de composants electriques pour l'industrie automobile & fabrication et l'assemblage de cables pour industrie automobile importation negoce achat, Route De Rabat Km 7,Tanger-Medina (AR),35.75886 : -5.828749,14597,Tribunal de Tanger,85200000052.0,,societe-aptiv-services-maroc-97117, 83 000 000 
SOCIETE DES BOISSONS DU MAROC, fabrication de boissons alcooliques et non alcooliques - commerce de gros de boissons," Ndeg38, Boulevard Ain Ifrane, Lot Alamia, Sidi Moumen",Sidi Moumen (AR),33.57057 : -7.66069,347,Tribunal de Casablanca,1524004000068.0,,societe-societe-des-boissons-du-maroc-1999, 282 965 312 
LES GRANDS TRAVAUX ROUTIERS (G T R), travaux routiers,,,33.52482 : -7.65048,143925,Tribunal de Casablanca,1525464000030.0,,societe-les-grands-travaux-routiers-167343, 51 166 200 
YAZAKI MOROCCO, fabrication d'equipements automobiles - import et export, Lot 101 Zone Franche D'exportation Aeroport De Tanger,Tanger-Assilah,35.766667 : -5.8,20521,Tribunal de Tanger,66094000068.0,,societe-yazaki-morocco-135292, 86 025 400 
UNIVERS ACIER, fabrication et commercialisation de l'acier," Rte 9 (ex Rte 107) Km 10, Municipalite Ahl Loghlam",Tit Mellil (M),33.557174 : -7.484752,116803,Tribunal de Casablanca,1534631000065.0,,societe-univers-acier-124942, 471 000 000 
MAGHREB STEEL, industrie metallurgique, Route Nationale Ndeg9 Km 10 (aeroclub Tit Mellil) Bp 3553-ahl Loughlam,Tit Mellil (M),33.557174 : -7.484752,33929,Tribunal de Casablanca,1535863000072.0,,societe-maghreb-steel-61886, 500 000 000 
LG ELECTRONICS MOROCCO, commerce de gros de materiels electriques et electroniques - reparation et services apres vente,,,33.52482 : -7.65048,93545,Tribunal de Casablanca,1515310000066.0,,societe-lg-electronics-morocco-95175, 31 521 300 
GROMIC, negociant (produits et denrees alimentaires),,,33.58694440000001 : -7.6111111000000164,68981,Tribunal de Casablanca,1576654000053.0,,societe-gromic-42410, 100 000 000 
TOYOTA DU MAROC," commerce de vehicules automobiles - entretien et reparation mecaniques ou electriques et de la carrosserie des vehicules automobiles, vidange - commerce de gros et de detail d'accessoires, de pieces detachees et d'equipements divers pour vehicules autom", Km 11. 5. Route Cotiere 111 Quartier Industriel Sidi Bernoussi,Sidi Bernoussi (AR),33.601564 : -7.545368,78727,Tribunal de Casablanca,1534534000065.0,,societe-toyota-du-maroc-71158, 250 000 000 
PAKISTAN MAROC PHOSPHORE, production d'acides phosphoriques et engrais, Hay Erraha 2 Rue Al Abtal Bp 118,Casablanca,33.552207 : -7.646883,133957,Tribunal de Casablanca,1530296000031.0,,societe-pakistan-maroc-phosphore-150582, 800 000 000 
CASA GRAINS, importation des aliments pour le betail, Angle Rues El Gara Et Capitaine Vuillanier,Casablanca,33.607157 : -7.563753,122303,Tribunal de Casablanca,1525238000021.0,,societe-casa-grains-133404, 100 000 000 
UNILEVER MAGHREB, achat et vente de produits alimentaires divers - traitement et vente de produits de sante hygiene et beaute,,,33.556465 : -7.557262,28435,Tribunal de Casablanca,1536156000018.0,,societe-unilever-maghreb-59962, 290 000 000 
ABU EISHEH CONSTRUCTION CO, travaux de construction et de batiments - transport de marchandises.,,,33.593504 : -7.567487,126423,Tribunal de Casablanca,37325000055.0,,societe-abu-eisheh-construction-co-139322, 100 000 000 
SOCIETE NATIONALE DES AUTOROUTES DU MAROC (SNAM), construction de chaussees - construction des routes - entretien et reparation des autoroutes," Direction Des Routes Et De La Circulation Routiere Hay Riyad Bp 6526 Secteur 22,",Rabat,33.999333 : -6.844248,29175,Tribunal de Rabat,1538020000033.0,,societe-societe-nationale-des-autoroutes-du-maroc-10886, 15 715 628 500 
NEXANS MAROC, fabrication des cables electriques - fabrication de materiel electrique - commerce d'appareillage electrique," (20400) Bd. Ahl Loghlam, Rte Tit Mellil Sidi Moumen",Sidi Moumen (AR),33.599474 : -7.469188,7545,Tribunal de Casablanca,1529564000007.0,,societe-nexans-maroc-7237, 224 352 000 
LA STE DES DIFFUSION D'APPAREILS RADIO TELEVISION INFORMATIQUE (DARTI)," marchand d'appareil de television, tenant un bazar d'articles de menage, articles hoteliers, pieces de rechange, electriques, construction d'ets, transport de tous materiels, articles et marchandises.",,,34.224435 : -4.008945,83,Tribunal de Taza,1713254000084.0,,societe-la-ste-des-diffusion-d-appareils-radio-television-informatique-32302, 8 000 000 
SOCIETE INTERNATIONALE DES TRAVAUX MAROC (SINTRAM), travaux publics - genie civil - travaux de construction - voirie et assainissement,,,33.3943794749 : -7.68937291689,121639,Tribunal de Casablanca,1542502000075.0,,societe-societe-internationale-des-travaux-maroc-131552, 400 000 000 
DIJLA FER, commerce de materiels de construction, Riad Arrida 63 Marina Centre Angle Bd Zerktouni Et Bd Mohamed Ben Abdellah,Casablanca,33.605027 : -7.61988,264853,Tribunal de Casablanca,1529871000060.0,,societe-dijla-fer-153195, 50 000 000 
NEWREST MAROC SERVICES, restauration d'entreprises et de collectivites," 18, Rue Ibnou Khalikane, Quartier Palmier",Casablanca,33.580262 : -7.630217,45717,Tribunal de Casablanca,1529916000009.0,,societe-newrest-maroc-services-54671, 18 180 000 
ROBELBOIS, commerce et transport de bois et articles en bois - commerce de materiaux de construction," 32, Rue Planquette Belvedere",Casablanca,33.593645 : -7.590025,21343,Tribunal de Casablanca,81378000038.0,,societe-robelbois-64646, 70 000 000 
FORDE REEDEREI SEETOURISTIK MAROC (FRS MAROC), transport touristique maritime," 13, Office Building, Angle Bd Mohamed V Et Rue Victor Hugo Etg 8, Ndeg40",Tanger-Medina (AR),35.774495 : -5.81018,15759,Tribunal de Tanger,85205000014.0,,societe-forde-reederei-seetouristik-maroc-291770, 24 162 000 
COMPAGNIE MINIERE DE TOUISSIT (CMT )," l'exploitation, l'extraction et le traitement des minerais de metaux de base et precieux"," 88-90, Rue Larbi Doghmi 3eme Etage Quartier Maarif",El Maarif (AR),33.58694440000001 : -7.6111111000000164,32499,Tribunal de Casablanca,1529649000040.0,,societe-compagnie-miniere-de-touissit-62085, 168 123 296 
AGRIMPEX, import export - commerce de gros de cereales et aliments pour le betail,,,34.021062 : -6.834987,42151,Tribunal de Rabat,1533001000037.0,,societe-agrimpex-13529, 10 000 000 
SETTAVEX, filature - tissage de laine., Z.i Lot Settavex B.p. 668,Settat (M),33.001374 : -7.617374,309,Tribunal de Settat,1527803000024.0,,societe-settavex-22565, 432 000 000 
LONGOFER, production de tubes soudes et profiles ouverts en acier, Rue Capitaine Pommier N18,Casablanca,33.592489 : -7.571153,47787,Tribunal de Casablanca,102738000080.0,,societe-longofer-83761, 165 000 000 
DELL, vente et reparation d'equipements informatiques,,,33.52695 : -7.641,124463,Tribunal de Casablanca,1563450000086.0,,societe-dell-135566, 300 000 
SCANIA MAROC, commercialisation et importation de pieces de poids lourds,,,33.604447 : -7.553805,253639,Tribunal de Casablanca,1535843000030.0,,societe-scania-maroc-61091, 15 000 000 
AYAM FER, vente de materiaux de construction," Riad Arrida 68 Marna Center 1, 5eme Etage, Ang Bd Zerktouni & Mohamed Ben Abdellah",Casablanca,33.57447 : -7.55064,202257,Tribunal de Casablanca,1510901000090.0,,societe-ayam-fer-168708, 20 000 000 
MATIS AEROSPACE, fabrication de systeme de cablage electriques," Technopole Nouasser, Aeroport Mohammed V",Casablanca,33.371898 : -7.543865,111367,Tribunal de Casablanca,1655377000093.0,,societe-matis-aerospace-119689, 80 626 000 
LABORATOIRES PHARMA 5, import export - production de medicaments generiques, 21 Rue Des Asphodeles Maarif,El Maarif (AR),33.572008 : -7.645115,45247,Tribunal de Casablanca,205003000030.0,,societe-laboratoires-pharma-5-58010, 30 000 000 
LABORATOIRES PHARMA 5, import export - production de medicaments generiques, 21 Rue Des Asphodeles Maarif,El Maarif (AR),33.572008 : -7.645115,45247,Tribunal de Casablanca,205003000030.0,,societe-laboratoires-pharma-5-58010, 30 000 000 
COMPTOIR CASABLANCAIS DE PRODUITS METALLURGIQUES (COMAPROM), produits metallurgiques - realisation de toutes unites industrielles - fabrication de tubes et de profiles en metal - transport de marchandises.," Route 110, Rue 2, Quartier Industriel Ain Sebaa.",Ain-Sebaa (AR),33.601564 : -7.545368,57093,Tribunal de Casablanca,1535116000065.0,,societe-comptoir-casablancais-de-produits-metallurgiques-51627, 90 000 000 
PRODEC (PRODEC), fabrication et commercialisation de peintures, 5 Passage Des Orchidees Beausites Bp2521 Ain Sebaa,Ain-Sebaa (AR),33.601564 : -7.545368,21499,Tribunal de Casablanca,1534209000013.0,,societe-prodec-74308, 75 791 300 
MIVISA MAROC, fabrication et vente de boites pour la conserve, Lot Nb 646 Zone Industrielle Ait Melloul,Ait Melloul (M),30.3658333 : -9.538055600000007,2411,Tribunal de Inzegane,,,societe-mivisa-maroc-145780, 47 664 000 
